resume_text,category
"Python machine learning deep learning NLP TensorFlow PyTorch scikit-learn data analysis statistics SQL pandas numpy matplotlib seaborn",Data Science
"HTML CSS JavaScript React Vue.js Angular frontend developer UI UX design responsive Bootstrap TailwindCSS",Web Development
"Financial analysis accounting Excel VBA SQL Power BI Tableau budgeting forecasting financial modeling CFA",Finance
"Java Spring Boot backend APIs RESTful microservices Docker Kubernetes SQL NoSQL AWS cloud architecture",Software Engineering
"Deep learning CNN RNN NLP computer vision PyTorch TensorFlow Keras AI ML research publications Kaggle competitions",Data Science
"React Native Flutter mobile app development iOS Android Swift Kotlin Firebase push notifications in-app purchases",Mobile Development
"Salesforce administrator CRM Apex Visualforce Lightning Pardot Marketing Cloud CPQ data migration",Salesforce Developer
"DevOps engineer CI/CD Jenkins GitLab GitHub Actions Terraform Ansible Docker Kubernetes AWS Azure GCP monitoring Prometheus",DevOps
"Product manager agile scrum JIRA Trello roadmap prioritization user stories A/B testing analytics SQL",Product Management
"Cybersecurity penetration testing ethical hacking CISSP CEH vulnerability assessment SIEM Splunk Wireshark firewalls IDS IPS",Cybersecurity
"Blockchain Ethereum Solidity smart contracts Web3 DeFi NFT crypto trading decentralized applications DApps",Blockchain
"Data engineering Apache Spark Hadoop Kafka Airflow ETL pipeline big data AWS Redshift Snowflake dbt",Data Engineering
"AWS cloud architect Azure GCP certification solutions architect serverless Lambda EC2 VPC IAM security",Cloud Architect
"UI/UX designer Figma Sketch Adobe XD prototyping wireframing user research usability testing design systems",UI/UX Design
"Quality assurance QA automation Selenium Cypress Appium test cases regression testing ISTQB Agile",QA Engineer
